Date,Open,High,Low,Close,Adj Close,Volume
2023-08-07,7.600000,7.600000,7.600000,7.600000,6.860309,0
2023-08-08,null,null,null,null,null,null
2023-08-09,7.610000,7.610000,7.610000,7.610000,6.869336,0
2023-08-10,7.640000,7.640000,7.640000,7.640000,6.896416,0
2023-08-11,null,null,null,null,null,null
2023-08-14,7.570000,7.570000,7.570000,7.570000,6.833230,0
2023-08-15,null,null,null,null,null,null
2023-08-16,7.530000,7.530000,7.530000,7.530000,6.797122,0
2023-08-17,null,null,null,null,null,null
2023-08-18,7.450000,7.450000,7.450000,7.450000,6.724908,0
2023-08-21,7.460000,7.460000,7.460000,7.460000,6.733934,0
2023-08-22,null,null,null,null,null,null
2023-08-23,7.480000,7.480000,7.480000,7.480000,6.751988,0
2023-08-24,7.530000,7.530000,7.530000,7.530000,6.797122,0
2023-08-25,7.480000,7.480000,7.480000,7.480000,6.751988,0
2023-08-28,7.510000,7.510000,7.510000,7.510000,6.779068,0
2023-08-29,null,null,null,null,null,null
2023-08-30,7.590000,7.590000,7.590000,7.590000,6.851282,0
2023-08-31,7.540000,7.540000,7.540000,7.540000,6.806148,0
2023-09-01,null,null,null,null,null,null
2023-09-05,7.510000,7.510000,7.510000,7.510000,6.779068,0
2023-09-06,7.480000,7.480000,7.480000,7.480000,6.751988,0
2023-09-07,null,null,null,null,null,null
2023-09-08,7.470000,7.470000,7.470000,7.470000,6.742962,0
2023-09-11,7.490000,7.490000,7.490000,7.490000,6.761014,0
2023-09-12,7.490000,7.490000,7.490000,7.490000,6.761014,0
2023-09-13,7.490000,7.490000,7.490000,7.490000,6.761014,0
2023-09-14,7.520000,7.520000,7.520000,7.520000,6.788095,0
2023-09-15,7.530000,7.530000,7.530000,7.530000,6.797122,0
2023-09-18,7.490000,7.490000,7.490000,7.490000,6.761014,0
2023-09-19,7.490000,7.490000,7.490000,7.490000,6.761014,0
2023-09-20,null,null,null,null,null,null
2023-09-21,7.420000,7.420000,7.420000,7.420000,6.697827,0
2023-09-22,7.400000,7.400000,7.400000,7.400000,6.679774,0
2023-09-25,7.380000,7.380000,7.380000,7.380000,6.661722,0
2023-09-26,null,null,null,null,null,null
2023-09-27,7.340000,7.340000,7.340000,7.340000,6.625614,0
2023-09-28,7.310000,7.310000,7.310000,7.310000,6.598535,0
2023-09-29,7.310000,7.310000,7.310000,7.310000,6.641233,0
2023-10-02,null,null,null,null,null,null
2023-10-03,7.200000,7.200000,7.200000,7.200000,6.541297,0
2023-10-04,null,null,null,null,null,null
2023-10-05,7.180000,7.180000,7.180000,7.180000,6.523127,0
2023-10-06,7.140000,7.140000,7.140000,7.140000,6.486786,0
2023-10-09,7.200000,7.200000,7.200000,7.200000,6.541297,0
2023-10-10,7.250000,7.250000,7.250000,7.250000,6.586723,0
2023-10-11,7.290000,7.290000,7.290000,7.290000,6.623064,0
2023-10-12,null,null,null,null,null,null
2023-10-13,7.270000,7.270000,7.270000,7.270000,6.604894,0
